fechas,Cripto,prices2,market_caps2,total_volumes2,Open,High,Low,Close,Ranking,Body_Ratio,Clasificación,Daily_Return
2022-08-21,bitcoin,21175.232732989512,404924875533.8922,23809679190.922188,21140.07,21800.0,21069.11,21515.61,1,0.5138119279234922,Fuerte Volatilidad,0.0
2022-08-22,bitcoin,21615.761693416986,413578924865.8514,20476237108.351532,21516.7,21548.71,20890.18,21399.83,1,0.17747103396959774,Indecisión,-0.0053812092708502846
2022-08-23,bitcoin,21387.747114773963,408409110509.79584,28856912427.175735,21400.75,21684.87,20890.14,21529.12,1,0.16152655618889314,Indecisión,0.006041636779357429
2022-08-24,bitcoin,21562.45153991356,412338357271.39594,29331102121.793316,21529.11,21900.0,21145.0,21368.08,1,0.213284768211919,Indecisión,-0.0074801013696795815
2022-08-25,bitcoin,21395.45846975991,409503007623.01685,26855905243.361156,21368.05,21819.88,21310.15,21559.04,1,0.37468856061052275,Fuerte Volatilidad,0.008936694359062525
2022-08-26,bitcoin,21618.009019176647,413843488595.5175,26767966536.315014,21559.04,21886.77,20107.9,20241.05,1,0.7409141758532115,Fuerte Dirección Bajista,-0.061133983702428396
2022-08-27,bitcoin,20271.322951706014,387215087166.7839,34910727805.04114,20239.14,20402.93,19800.0,20037.6,1,0.3342676595956426,Fuerte Volatilidad,-0.010051356031431258
2022-08-28,bitcoin,20069.953331596196,383790676113.79205,24463219414.743473,20037.6,20171.18,19520.0,19555.61,1,0.7401793666881626,Fuerte Dirección Bajista,-0.024054277957439862
2022-08-29,bitcoin,19659.24670619362,376180531070.6233,19781826309.451183,19555.61,20433.62,19550.79,20285.73,1,0.8270221900026059,Fuerte Dirección Alcista,0.03733557787253883
2022-08-30,bitcoin,20308.861447891457,389119405471.2333,28706315246.140064,20287.2,20576.25,19540.0,19811.66,1,0.4589047044632095,Fuerte Volatilidad,-0.02336962978408963
2022-08-31,bitcoin,19805.35069885804,379555151404.602,30308993725.456158,19813.03,20490.0,19797.94,20050.02,1,0.34244140681443974,Fuerte Volatilidad,0.012031298740236895
