,Cripto,fechas,pricesnew,market_capsnew,total_volumesnew
0,bitcoin,2022-08-16,24179.014652309197,462437221425.1544,33404812507.80541
1,bitcoin,2022-08-17,23913.333725628458,456791042838.03827,24971300201.368164
2,bitcoin,2022-08-18,23359.418837070007,447015816173.3428,29567403252.00121
3,bitcoin,2022-08-19,23248.38422819264,444845955425.38696,20228208349.156567
4,bitcoin,2022-08-20,20945.8339660496,400810425580.64777,35142410593.122185
5,bitcoin,2022-08-21,21175.232732989512,404924875533.8922,23809679190.922188
6,bitcoin,2022-08-22,21615.761693416986,413578924865.8514,20476237108.351532
7,bitcoin,2022-08-23,21387.747114773963,408409110509.79584,28856912427.175735
8,bitcoin,2022-08-24,21562.45153991356,412338357271.39594,29331102121.793316
9,bitcoin,2022-08-25,21395.45846975991,409503007623.01685,26855905243.361156
10,bitcoin,2022-08-26,21618.009019176647,413843488595.5175,26767966536.315014
11,bitcoin,2022-08-27,20271.322951706014,387215087166.7839,34910727805.04114
12,bitcoin,2022-08-28,20069.953331596196,383790676113.79205,24463219414.743473
13,bitcoin,2022-08-29,19659.24670619362,376180531070.6233,19781826309.451183
14,bitcoin,2022-08-30,20308.861447891457,389119405471.2333,28706315246.140064
15,bitcoin,2022-08-31,19805.35069885804,379555151404.602,30308993725.456158
16,bitcoin,2022-09-01,20023.55444491251,383348414528.78253,27825786159.855602
17,bitcoin,2022-09-02,20153.975977982507,385027707310.6654,25616737335.88055
18,bitcoin,2022-09-03,19941.451370047158,381788074511.76855,24078042298.340073
19,bitcoin,2022-09-04,19814.5642451146,379422449024.2574,20048153187.39969
20,bitcoin,2022-09-05,19980.013222242276,382421043401.0045,21537524477.36904
21,bitcoin,2022-09-06,19785.73350185514,378685143698.17633,23522961655.00036
22,bitcoin,2022-09-07,18859.500087680277,361210437263.86273,39940310406.47586
23,bitcoin,2022-09-08,19280.62547645678,369340091982.8708,30517907004.082462
24,bitcoin,2022-09-09,19322.77774937157,369723445425.44885,28936941008.358917
25,bitcoin,2022-09-10,21359.58252557909,408976281844.7646,42487059054.97593
26,bitcoin,2022-09-11,21707.38731931814,415974687298.0947,35941349745.24438
27,bitcoin,2022-09-12,21739.80437979554,416073628622.09485,31266252145.35619
28,bitcoin,2022-09-13,22339.67050262336,427473787888.3761,44006486689.44507
29,bitcoin,2022-09-14,20184.96749189655,386529657258.8565,46489890914.82466
30,bitcoin,2022-09-15,20255.922978327133,387486232249.80023,35789015870.392235
31,bitcoin,2022-09-16,19702.169889811717,377719382182.44714,33715957206.68328
32,bitcoin,2022-09-17,19764.411712043777,377988702161.6817,30187737709.58007
33,bitcoin,2022-09-18,20131.675305714027,385486747327.04944,23394494073.784782
34,bitcoin,2022-09-19,19437.157867982634,372598380208.27094,28689764413.699097
35,bitcoin,2022-09-20,19570.386709523507,374524246937.4287,39507938864.87854
36,bitcoin,2022-09-21,18869.928809390534,361980678159.1343,33890591849.676514
37,bitcoin,2022-09-22,18539.63523831258,355194467885.9514,41059997264.96848
38,bitcoin,2022-09-23,19464.322663348466,372075639498.16974,37660914389.8923
39,bitcoin,2022-09-24,19291.904802452067,370913140447.51636,35506139423.901344
40,bitcoin,2022-09-25,18939.970580499372,363168779956.3335,24644354421.61794
41,bitcoin,2022-09-26,18809.41143933244,360256894978.40894,21516374222.675316
42,bitcoin,2022-09-27,19219.727780656474,367613056759.2221,42560193944.41844
43,bitcoin,2022-09-28,19116.331160710437,366383164263.7157,52482615483.86207
44,bitcoin,2022-09-29,19444.787771362975,372892084645.0075,47494258189.70422
45,bitcoin,2022-09-30,19563.765161776904,374830625219.6003,37537716230.48356
46,bitcoin,2022-10-01,19476.92659600407,373222100680.7475,37848666330.67224
47,bitcoin,2022-10-02,19314.463835217448,370204708063.3375,15943514602.722155
48,bitcoin,2022-10-03,19065.153837148988,366195863790.6755,17859684587.64641
49,bitcoin,2022-10-04,19620.567543591394,375767908259.0832,26634227151.925247
50,bitcoin,2022-10-05,20345.398520106643,390177741507.47705,30974520027.944332
51,bitcoin,2022-10-06,20161.830614985047,386368899196.38165,29366342083.101757
52,bitcoin,2022-10-07,19949.051041418512,382505641462.15643,31354758329.142307
53,bitcoin,2022-10-08,19457.308951251147,373170861484.13965,25445042398.337975
